========================================================================
P_AVG OPTIMIZER  (issue #344: is (1-δ/2)^q tight for FRI?)
  Params: n_0=32, k_0=8, p=97, R=2, w_J=16, δ=0.5000
  Targets:
    P_avg ≥ 1-δ/2 = 0.7500  → BCIKS bound TIGHT, settles #344 'yes'
    P_avg ≥ 1-δ   = 0.5000  → improvement over random possible
    P_avg < 1-δ stuck → coupling theorem target for c < 2
  Search budget: 200 P_avg evaluations (≈ 133min)
========================================================================
[it  141/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 80.5min
[it  143/200 mode=monomial_pair ] P_avg = 0.2781 | best = 0.3852 | thresh: 1-δ/2=0.750 | 41s | total 81.2min
[it  144/200 mode=K2_dense      ] P_avg = 0.2955 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 81.8min
[it  145/200 mode=sparse_random ] P_avg = 0.3069 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 82.5min
[it  146/200 mode=cs_lift       ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 83.2min
[it  147/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 84.0min
[it  149/200 mode=monomial_pair ] P_avg = 0.2912 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 84.6min
[it  150/200 mode=K2_dense      ] P_avg = 0.2946 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 85.3min
[it  151/200 mode=sparse_random ] P_avg = 0.3078 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 86.0min
[it  152/200 mode=cs_lift       ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 86.7min
[it  153/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 87.4min
[it  155/200 mode=monomial_pair ] P_avg = 0.2784 | best = 0.3852 | thresh: 1-δ/2=0.750 | 41s | total 88.1min
[it  156/200 mode=K2_dense      ] P_avg = 0.3814 | best = 0.3852 | thresh: 1-δ/2=0.750 | 37s | total 88.7min
[it  157/200 mode=sparse_random ] P_avg = 0.3071 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 89.4min
[it  158/200 mode=cs_lift       ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 90.1min
[it  159/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 90.8min
[it  162/200 mode=K2_dense      ] P_avg = 0.2972 | best = 0.3852 | thresh: 1-δ/2=0.750 | 41s | total 91.5min
[it  163/200 mode=sparse_random ] P_avg = 0.3074 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 92.2min
[it  164/200 mode=cs_lift       ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 44s | total 92.9min
[it  165/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 44s | total 93.6min
[it  168/200 mode=K2_dense      ] P_avg = 0.3814 | best = 0.3852 | thresh: 1-δ/2=0.750 | 35s | total 94.2min
[it  169/200 mode=sparse_random ] P_avg = 0.3068 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 94.9min
[it  170/200 mode=cs_lift       ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 95.6min
[it  171/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 96.3min
[it  173/200 mode=monomial_pair ] P_avg = 0.2938 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 97.0min
[it  174/200 mode=K2_dense      ] P_avg = 0.2951 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 97.7min
[it  175/200 mode=sparse_random ] P_avg = 0.3071 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 98.3min
[it  176/200 mode=cs_lift       ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 44s | total 99.1min
[it  177/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 99.8min
[it  180/200 mode=K2_dense      ] P_avg = 0.2939 | best = 0.3852 | thresh: 1-δ/2=0.750 | 41s | total 100.5min
[it  181/200 mode=sparse_random ] P_avg = 0.3069 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 101.1min
[it  182/200 mode=cs_lift       ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 44s | total 101.9min
[it  183/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 102.6min
[it  185/200 mode=monomial_pair ] P_avg = 0.3011 | best = 0.3852 | thresh: 1-δ/2=0.750 | 39s | total 103.3min
[it  186/200 mode=K2_dense      ] P_avg = 0.3814 | best = 0.3852 | thresh: 1-δ/2=0.750 | 39s | total 103.9min
[it  187/200 mode=sparse_random ] P_avg = 0.3083 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 104.6min
[it  188/200 mode=cs_lift       ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 44s | total 105.3min
[it  189/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 106.0min
[it  191/200 mode=monomial_pair ] P_avg = 0.2985 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 106.7min
[it  192/200 mode=K2_dense      ] P_avg = 0.2972 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 107.4min
[it  193/200 mode=sparse_random ] P_avg = 0.3069 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 108.0min
[it  194/200 mode=cs_lift       ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 108.7min
[it  195/200 mode=cs_shifted    ] P_avg = 0.2577 | best = 0.3852 | thresh: 1-δ/2=0.750 | 43s | total 109.5min
[it  198/200 mode=K2_dense      ] P_avg = 0.3827 | best = 0.3852 | thresh: 1-δ/2=0.750 | 36s | total 110.1min
[it  199/200 mode=sparse_random ] P_avg = 0.3072 | best = 0.3852 | thresh: 1-δ/2=0.750 | 40s | total 110.7min

========================================================================
FINAL (161 successful evals)
========================================================================
  Best P_avg = 0.3852  (mode: K2_dense)
  Compare:  1-δ/2 = 0.7500  |  1-δ = 0.5000

mode              count  max P_avg  mean P_avg
--------------------------------------------------
K2_dense             34     0.3852      0.3468
cs_lift              33     0.2577      0.2577
cs_shifted           33     0.2577      0.2577
monomial_pair        27     0.3087      0.2795
sparse_random        34     0.3089      0.3075

  Reference: 0114 K=2 breaches achieve P_avg ≈ 0.39 (from audit_K2_breach_acceptance)
  Random above-J for comparison: typical P_avg ≈ 1 - (n-k_R)/n = 0.2500
