# Berlekamp #322 deployment ε table (target 128-bit)

Two codim conjectures:
  - codim_opt = 2(D - w'_min - 1)  [Note 0114, distinct-extras case]
  - codim_worst = 2(c - 1)         [Note 0116, shared-extras worst case]
ε bits = codim · log2(|F|), poly factor ignored.

| field | F_b | n_log | ρ | D | c | T | w'_min | codim_opt | ε_opt | codim_w | ε_worst | verdict |
| KoalaBear-ext6 | 186 | 2^14 | 1/8 | 14336 | 6 | 4778 | 4095 | 20480 | 3807890 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^14 | 1/8 | 14336 | 9 | 3185 | 2867 | 22936 | 4264539 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/2 | 32768 | 3 | 21845 | 16383 | 32768 | 6092623 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/2 | 32768 | 4 | 16383 | 13107 | 39320 | 7310850 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/2 | 32768 | 6 | 10922 | 9362 | 46810 | 8703482 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/2 | 32768 | 9 | 7281 | 6553 | 52428 | 9748049 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/4 | 49152 | 3 | 32767 | 24575 | 49152 | 9138935 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/4 | 49152 | 4 | 24575 | 19660 | 58982 | 10966648 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/4 | 49152 | 6 | 16383 | 14043 | 70216 | 13055409 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/4 | 49152 | 9 | 10922 | 9830 | 78642 | 14622073 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/8 | 57344 | 3 | 38229 | 28671 | 57344 | 10662091 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/8 | 57344 | 4 | 28671 | 22937 | 68812 | 12794360 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/8 | 57344 | 6 | 19114 | 16383 | 81920 | 15231558 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^16 | 1/8 | 57344 | 9 | 12743 | 11468 | 91750 | 17059271 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/2 | 131072 | 3 | 87381 | 65535 | 131072 | 24370493 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/2 | 131072 | 4 | 65535 | 52428 | 157286 | 29244518 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/2 | 131072 | 6 | 43690 | 37449 | 187244 | 34814672 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/2 | 131072 | 9 | 29127 | 26214 | 209714 | 38992566 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/4 | 196608 | 3 | 131071 | 98303 | 196608 | 36555740 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/4 | 196608 | 4 | 98303 | 78643 | 235928 | 43866590 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/4 | 196608 | 6 | 65535 | 56173 | 280868 | 52222379 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/4 | 196608 | 9 | 43690 | 39321 | 314572 | 58489035 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/8 | 229376 | 3 | 152917 | 114687 | 229376 | 42648363 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/8 | 229376 | 4 | 114687 | 91750 | 275250 | 51177813 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/8 | 229376 | 6 | 76458 | 65535 | 327680 | 60926233 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^18 | 1/8 | 229376 | 9 | 50972 | 45875 | 367000 | 68237084 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/2 | 524288 | 3 | 349525 | 262143 | 524288 | 97481973 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/2 | 524288 | 4 | 262143 | 209715 | 629144 | 116978070 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/2 | 524288 | 6 | 174762 | 149796 | 748982 | 139259802 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/2 | 524288 | 9 | 116508 | 104857 | 838860 | 155971008 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/4 | 786432 | 3 | 524287 | 393215 | 786432 | 146222960 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/4 | 786432 | 4 | 393215 | 314572 | 943718 | 175467477 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/4 | 786432 | 6 | 262143 | 224694 | 1123474 | 208889889 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^20 | 1/4 | 786432 | 9 | 174762 | 157286 | 1258290 | 233956512 | 16 | 2975 | OK (2975b) (worst) |
